11;Sutia;Com alca;Victorias Secret;preto;grande
12;Cueca;Box;Calvin Klein;azul;grande
13;Calcinha;Renda;Balenciaga;vermelho;pequena
14;Meia;Flanelada;Dior;branco;extra-grande
15;Blusa de alcinha;Regata;Piticas;azul;mdia
16;Legging;Lycra ;Hollister;branco;pequena
17;Pijama;Cetim;PlasPlums;preto;extra-grande
18;Camisa;Social;GAP;vermelho;grande
19;Calca social;Flare;Nordstrom;azul;mdia
20;Moletom;Blusao;Vogue;branco;pequena
21;Camiseta Social;Polo;Polo;azul;mdia
22;Toalha;Banho;Levis;vermelho;extra-grande
23;Roupao;Atoalhado;Bonds;branco;pequena
24;luvas;La;ecko unltd;preto;grande
25;Sobretudo fino;Kimono;Ralph Lauren;vermelho;mdia
26;Sutia decote profundo;Sem alca;Brooksfield;branco;extra-grande
27;Biquini moda verao;Estampado;Everlast;azul;pequena
28;Biquini moda praia;Sem estampa;Tommy Hilfiger;preto;grande
29;Colete;Sem mangas;Dolce & Gabbana;branco;grande
30;Vestido de paite;Festa;New Era;vermelho;extra-grande
